model,scenario,seed,survival_time,survived_12,mean_gain,efficiency,equality,over_usage
GPT-4o,fishing,0,12,1,95.0,0.7917,1.0,0.0
GPT-4o,fishing,1,12,1,65.0,0.5417,1.0,0.0
GPT-4o,fishing,2,12,1,66.0,0.55,0.9879,0.0
GPT-4o,fishing,3,12,1,65.0,0.5417,1.0,0.0
GPT-4o,fishing,42,12,1,97.6,0.8133,0.9967,0.0
GPT-4o,sheep,0,5,0,50.6,0.4217,0.9779,0.0
GPT-4o,sheep,1,12,1,120.0,1.0,1.0,0.0
GPT-4o,sheep,2,3,0,30.4,0.2533,0.9237,0.0
GPT-4o,sheep,3,3,0,31.4,0.2617,0.9898,0.0
GPT-4o,sheep,42,4,0,36.0,0.3,0.9311,0.0
GPT-4o,pollution,0,12,1,95.8,0.7983,0.9925,0.0
GPT-4o,pollution,1,7,0,70.4,0.5867,0.9568,0.0
GPT-4o,pollution,2,6,0,49.0,0.4083,0.8106,0.0
GPT-4o,pollution,3,12,1,95.2,0.7933,0.9824,0.0
GPT-4o,pollution,42,12,1,40.0,0.3333,1.0,0.0
Llama-3-70B,fishing,0,1,0,19.2,0.16,0.8292,0.0
Llama-3-70B,fishing,1,2,0,23.0,0.1917,0.8783,0.0
Llama-3-70B,fishing,2,2,0,21.6,0.18,0.8852,0.0
Llama-3-70B,fishing,3,5,0,38.8,0.3233,0.8742,0.0
Llama-3-70B,fishing,42,2,0,23.2,0.1933,0.8897,0.0
Llama-3-70B,sheep,0,1,0,19.2,0.16,0.975,0.0
Llama-3-70B,sheep,1,2,0,22.4,0.1867,0.875,0.0
Llama-3-70B,sheep,2,1,0,20.0,0.1667,0.928,0.0
Llama-3-70B,sheep,3,2,0,21.4,0.1783,0.9178,0.0
Llama-3-70B,sheep,42,1,0,20.0,0.1667,0.968,0.0
Llama-3-70B,pollution,0,1,0,20.0,0.1667,0.892,0.0
Llama-3-70B,pollution,1,1,0,20.0,0.1667,0.916,0.0
Llama-3-70B,pollution,2,1,0,20.0,0.1667,0.956,0.0
Llama-3-70B,pollution,3,1,0,20.0,0.1667,0.924,0.0
Llama-3-70B,pollution,42,1,0,20.0,0.1667,0.912,0.0
